YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
392,511,HHTA1B          ,873.375,825.25,55.614,7.833,657.579,81.299,0.041,0.393,1.33,0.042
405,531,HHTA1B          ,869.25,833,95.203,2.583,664.416,97.059,0.045,0.396,1.3,0.043
310,461,HDR09C          ,867.25,833.25,83.264,0,670.981,85.774,0.037,0.33,1,0.001
385,508,HHTA1B          ,860.375,821.75,72.445,27.555,640.561,98.308,0.041,0.401,1.4,0.042
402,518,HHTA1B          ,868.375,837.875,98.004,0,661.4,88.469,0.038,0.39,1.3,0.043
363,488,HDR09C          ,863.25,832.875,91.765,0,648.793,97.665,0.045,0.35,1.06,0.001
357,495,HDR09C          ,870.875,837.25,90.758,0,632.056,99.292,0.045,0.358,1.08,0.001
365,504,HHTA1B          ,864.375,834.25,99.576,0.424,686.064,96.186,0.045,0.393,1.37,0.04
370,504,HHTA1B          ,864.375,834.25,99.576,0.424,686.064,96.186,0.045,0.393,1.37,0.04
318,462,HDR09C          ,868.5,840.375,75.417,0,686.544,54.357,0.045,0.327,0.97,0.001
340,472,HDR09C          ,872,833.75,89.076,0,680.868,91.213,0.045,0.327,0.97,0.001
381,527,HHTA1B          ,859.5,829.875,99.558,0.442,674.325,80.973,0.037,0.397,1.33,0.043
434,540,HHTA1B          ,860.75,827.625,92.607,0,678.682,68.34,0.044,0.392,1.33,0.046
319,455,HDR09C          ,871,836.5,79.904,0,686.649,75.714,0.045,0.33,0.99,0.001
349,488,HDR09C          ,864.625,830.625,97.479,0,673.123,92.887,0.042,0.338,0.98,0.001
336,476,HDR09C          ,876.625,851.75,65.169,0,684.635,98.305,0.037,0.33,1,0.001
364,485,HHTA1B          ,860.625,834.875,99.618,0.382,633.044,99.24,0.042,0.377,1.25,0.042
408,535,HHTA1B          ,868.5,822.5,90.176,0.252,628.516,98.254,0.045,0.402,1.38,0.047
398,535,HHTA1B          ,873.625,836.875,96.296,0,686.667,74.074,0.037,0.397,1.33,0.043
